#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
88games;'88 Games;Arcade;;1988;Konami;Sports / Track & Field;4P alt / 2;;;good;0;;;;;;;;;
flagrall;'96 Flag Rally;Arcade;;1996;Promat?;Maze / Driving;1;;;good;0;;;;;;;;;
99lstwarb;'99: The Last War (bootleg);Arcade;repulse;1985;bootleg;Shooter / Gallery;2;;;good;0;;repulse;;;;;;;
99lstwark;'99: The Last War (Kyugo);Arcade;repulse;1985;Crux / Kyugo;Shooter / Gallery;2;;;good;0;;repulse;;;;;;;
99lstwar;'99: The Last War (set 1);Arcade;repulse;1985;Crux / Proma;Shooter / Gallery;2;;;good;0;;repulse;;;;;;;
99lstwara;'99: The Last War (set 2);Arcade;repulse;1985;Crux / Proma;Shooter / Gallery;2;;;good;0;;repulse;;;;;;;
10yard85;10-Yard Fight '85 (US, Taito license);Arcade;10yard;1985;Irem (Taito license);Sports / Football;2;;;good;0;;10yard;;;;;;;
10yardj;10-Yard Fight (Japan);Arcade;10yard;1983;Irem;Sports / Football;2;;;good;0;;10yard;;;;;;;
10yard;10-Yard Fight (World, set 1);Arcade;;1983;Irem;Sports / Football;2;;;good;0;;;;;;;;;
gtmro;1000 Miglia: Great 1000 Miles Rally (94/05/10);Arcade;gtmr;1994;Kaneko;Driving / Race;2;;;good;0;;gtmr;;;;;;;
gtmrb;1000 Miglia: Great 1000 Miles Rally (94/05/26);Arcade;gtmr;1994;Kaneko;Driving / Race;2;;;good;0;;gtmr;;;;;;;
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);Arcade;gtmr;1994;Kaneko;Driving / Race;2;;;good;0;;gtmr;;;;;;;
gtmr;1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18);Arcade;;1994;Kaneko;Driving / Race;2;;;good;0;;;;;;;;;
cprogolf18;18 Challenge Pro Golf (DECO Cassette) (Japan);Arcade;cprogolf;1982;Data East Corporation;Sports / Golf;2;;;good;0;;cprogolf;;;;;;;
progolf;18 Holes Pro Golf (set 1);Arcade;;1981;Data East Corporation;Sports / Golf;2;;;good;0;;;;;;;;;
1941j;1941: Counter Attack (Japan);Arcade;1941;1990;Capcom;Shooter / Flying Vertical;2;;;good;0;;1941;;;;;;;
1941u;1941: Counter Attack (USA 900227);Arcade;1941;1990;Capcom;Shooter / Flying Vertical;2;;;good;0;;1941;;;;;;;
1941;1941: Counter Attack (World 900227);Arcade;;1990;Capcom;Shooter / Flying Vertical;2;;;good;0;;;;;;;;;
1941r1;1941: Counter Attack (World);Arcade;1941;1990;Capcom;Shooter / Flying Vertical;2;;;good;0;;1941;;;;;;;
1942c64;1942 (C64 Music);Arcade;1942;2015;hack by Minwah;Shooter / Flying Vertical;2;;;good;0;;1942;;;;;;;
1942b;1942 (First Version);Arcade;1942;1984;Capcom;Shooter / Flying Vertical;2;;;good;0;;1942;;;;;;;
1942a;1942 (Revision A);Arcade;1942;1984;Capcom;Shooter / Flying Vertical;2;;;good;0;;1942;;;;;;;
1942abl;1942 (Revision A, bootleg);Arcade;1942;1984;Capcom;Shooter / Flying Vertical;2;;;good;0;;1942;;;;;;;
1942;1942 (Revision B);Arcade;;1984;Capcom;Shooter / Flying Vertical;2;;;good;0;;;;;;;;;
1942w;1942 (Williams Electronics license);Arcade;1942;1985;Capcom (Williams Electronics license);Shooter / Flying Vertical;2;;;good;0;;1942;;;;;;;
1943kai;1943 Kai: Midway Kaisen (Japan);Arcade;;1987;Capcom;Shooter / Flying Vertical;2;;;good;0;;;;;;;;;
1943b;1943: Battle of Midway (bootleg set 1, hack of Japan set);Arcade;1943;1987;bootleg;Shooter / Flying Vertical;2;;;good;0;;1943;;;;;;;
1943b2;1943: Battle of Midway (bootleg set 2, hack of Japan set);Arcade;1943;1987;bootleg;Shooter / Flying Vertical;2;;;good;0;;1943;;;;;;;
1943bj;1943: Midway Kaisen (bootleg);Arcade;1943;1987;bootleg;Shooter / Flying Vertical;2;;;good;0;;1943;;;;;;;
1943ja;1943: Midway Kaisen (Japan);Arcade;1943;1987;Capcom;Shooter / Flying Vertical;2;;;good;0;;1943;;;;;;;
1943jah;1943: Midway Kaisen (Japan, no protection hack);Arcade;1943;1987;Capcom;Shooter / Flying Vertical;2;;;good;0;;1943;;;;;;;
1943jaha;1943: Midway Kaisen (Japan, no protection hack, alt);Arcade;1943;1987;Capcom;Shooter / Flying Vertical;2;;;good;0;;1943;;;;;;;
1943j;1943: Midway Kaisen (Japan, Rev B);Arcade;1943;1987;Capcom;Shooter / Flying Vertical;2;;;good;0;;1943;;;;;;;
1943;1943: The Battle of Midway (Euro);Arcade;;1987;Capcom;Shooter / Flying Vertical;2;;;good;0;;;;;;;;;
1943ua;1943: The Battle of Midway (US);Arcade;1943;1987;Capcom;Shooter / Flying Vertical;2;;;good;0;;1943;;;;;;;
1943u;1943: The Battle of Midway (US, Rev C);Arcade;1943;1987;Capcom;Shooter / Flying Vertical;2;;;good;0;;1943;;;;;;;
1943mii;1943: The Battle of Midway Mark II (US);Arcade;;1988;Capcom;Shooter / Flying Vertical;2;;;good;0;;;;;;;;;
1944;1944: The Loop Master (Europe 000620);Arcade;;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;2;;;good;0;;;;;;;;;
1944j;1944: The Loop Master (Japan 000620);Arcade;1944;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;2;;;good;0;;1944;;;;;;;
1944ad;1944: The Loop Master (USA 000620 alt Phoenix Edition) (bootleg);Arcade;1944;2000;bootleg;Shooter / Flying Vertical;2;;;good;0;;1944;;;;;;;
1944d;1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg);Arcade;1944;2000;bootleg;Shooter / Flying Vertical;2;;;good;0;;1944;;;;;;;
1944u;1944: The Loop Master (USA 000620);Arcade;1944;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;2;;;good;0;;1944;;;;;;;
bgareggabl;1945 Er Dai / 1945 Part-2 (Chinese hack of Battle Garegga);Arcade;bgaregga;1998;bootleg (Melody);Shooter / Flying Vertical;2;;;good;0;;bgaregga;;;;;;;
1945kiiin;1945k III (newer, OPCX1 PCB);Arcade;1945kiii;2000;Oriental Soft;Shooter / Flying Vertical;2;;;good;0;;1945kiii;;;;;;;
1945kiii;1945k III (newer, OPCX2 PCB);Arcade;;2000;Oriental Soft;Shooter / Flying Vertical;2;;;good;0;;;;;;;;;
1945kiiio;1945k III (older, OPCX1 PCB);Arcade;1945kiii;1999;Oriental Soft;Shooter / Flying Vertical;2;;;good;0;;1945kiii;;;;;;;
spikes91;1991 Spikes (Italian bootleg, set 1);Arcade;pspikes;1991;bootleg;Sports / Volleyball;2;;;good;0;;pspikes;;;;;;;
spikes91b;1991 Spikes (Italian bootleg, set 2);Arcade;pspikes;1991;bootleg;Sports / Volleyball;2;;;good;0;;pspikes;;;;;;;
19xxar1;19XX: The War Against Destiny (Asia 951207);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;2;;;good;0;;19xx;;;;;;;
19xxa;19XX: The War Against Destiny (Asia 960104);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;2;;;good;0;;19xx;;;;;;;
19xxb;19XX: The War Against Destiny (Brazil 951218);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;2;;;good;0;;19xx;;;;;;;
19xx;19XX: The War Against Destiny (Europe 960104);Arcade;;1996;Capcom;Shooter / Flying Vertical;2;;;good;0;;;;;;;;;
19xxh;19XX: The War Against Destiny (Hispanic 951218);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;2;;;good;0;;19xx;;;;;;;
19xxjr2;19XX: The War Against Destiny (Japan 951207);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;2;;;good;0;;19xx;;;;;;;
19xxjr1;19XX: The War Against Destiny (Japan 951225);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;2;;;good;0;;19xx;;;;;;;
19xxj;19XX: The War Against Destiny (Japan 960104, yellow case);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;2;;;good;0;;19xx;;;;;;;
19xxd;19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg);Arcade;19xx;1996;bootleg;Shooter / Flying Vertical;2;;;good;0;;19xx;;;;;;;
19xxu;19XX: The War Against Destiny (USA 951207);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;2;;;good;0;;19xx;;;;;;;
19yy;19YY (Neo CD conversion, ADK World);Arcade;;2022;hack;System / BIOS;BIOS;;;good;0;;neogeo;;;;;;;
19yyo;19YY (Neo CD conversion, ADK World)(Original release);Arcade;19yy;2022;hack;;;;;good;0;;19yy;;;;;;;
openice;2 On 2 Open Ice Challenge (rev 1.21);Arcade;;1995;Midway;Sports / Hockey;4;;;good;0;;;;;;;;;
openicea;2 On 2 Open Ice Challenge (rev 1.2A);Arcade;openice;1995;Midway;Sports / Hockey;4;;;good;0;;openice;;;;;;;
2020bbcd;2020 Super Baseball (Neo CD conversion);Arcade;2020bb;1991;hack;Sports / Baseball;2;;;good;0;;2020bb;;;;;;;
2020bb;2020 Super Baseball (set 1);Arcade;;1991;SNK / Pallas;Sports / Baseball;2;;;good;0;;neogeo;;;;;;;
2020bba;2020 Super Baseball (set 2);Arcade;2020bb;1991;SNK / Pallas;Sports / Baseball;2;;;good;0;;2020bb;;;;;;;
2020bbh;2020 Super Baseball (set 3);Arcade;2020bb;1991;SNK / Pallas;Sports / Baseball;2;;;good;0;;2020bb;;;;;;;
test240p;240p Test Suite (v1.0);Arcade;;2023;Artemio;System / BIOS;BIOS;;;good;0;;neogeo;;;;;;;
the26thz;The 26th Z (Japan, location test);Arcade;alphaxz;1986;Ed Co., Ltd. (Taito license);Shooter / Flying Vertical;2;;;good;0;;alphaxz;;;;;;;
3countb;3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043);Arcade;;1993;SNK;Sports / Wrestling;2;;;good;0;;neogeo;;;;;;;
3countba;3 Count Bout / Fire Suplex (NGM-043);Arcade;3countb;1993;SNK;Sports / Wrestling;2;;;good;0;;3countb;;;;;;;
3on3dunk;3 On 3 Dunk Madness (US, prototype? 1997/02/04);Arcade;;1996;Video System Co.;Sports / Basketball;2;;;good;0;;;;;;;;;
tceptor2;3-D Thunder Ceptor II;Arcade;tceptor;1986;Namco;Shooter / Flying (chase view);1;;;good;0;;tceptor;;;;;;;
3x3puzzl;3X3 Puzzle (Enterprise);Arcade;;1998;Ace Enterprise;Puzzle / Multi-Games * Mature *;1;;;good;0;;;;;;;;;
3x3puzzla;3X3 Puzzle (Normal);Arcade;3x3puzzl;1998;Ace Enterprise;Puzzle / Multi-Games * Mature *;1;;;good;0;;3x3puzzl;;;;;;;
4enraya;4 En Raya (set 1);Arcade;;1990;IDSA;Puzzle / Solved Game;2;;;good;0;;;;;;;;;
4enrayaa;4 En Raya (set 2);Arcade;4enraya;1990;IDSA;Puzzle / Solved Game;2;;;good;0;;4enraya;;;;;;;
