#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
007 Shitou - The Duel (Japan);007 Shitou - The Duel (Japan);Mega Drive;James Bond 007 - The Duel (Europe);1993;Domark;Platform;1;0;;;;;;;;;;ja;jp;
10 Super Jogos (Brazil) (En);10 Super Jogos (Brazil) (En);Mega Drive;;2002;Epyx;Sports;8+;0;;;;;;;;;;;br;TI
16t (Japan) (Game no Kanzume Otokuyou);16t (Japan) (Game no Kanzume Otokuyou);Mega Drive;16t (Japan) (SegaNet);1991;SEGA;Platform;1;0;;;;;;;;;;;jp;
16t (Japan) (Game no Kanzume Vol. 2);16t (Japan) (Game no Kanzume Vol. 2);Mega Drive;16t (Japan) (SegaNet);1991;SEGA;Platform;1;0;;;;;;;;;;;jp;
16t (Japan) (SegaNet);16t (Japan) (SegaNet);Mega Drive;;1991;SEGA;Platform;1;0;;;;;;;;;;;jp;
2020 Nen Super Baseball (Japan);2020 Nen Super Baseball (Japan);Mega Drive;Super Baseball 2020 (USA, Europe);1993;SNK;Sports;1-2;0;;;;;;;;;;;jp;ForceMega06
3 Ninjas Kick Back (USA);3 Ninjas Kick Back (USA);Mega Drive;;1994;Malibu Games;Platform;1-2;0;;;;;;;;;;;us;13
6-Pak (USA);6-Pak (USA);Mega Drive;;1995;SEGA;Compilation;1-2;0;;;;;;;;;;;us;6
688 Attack Sub (USA, Europe);688 Attack Sub (USA, Europe);Mega Drive;;1991;SEGA;Simulation;1;0;;;;;;;;;;;us,eu;pro_UK_01
A Ressha de Ikou MD (Japan);A Ressha de Ikou MD (Japan);Mega Drive;;1992;MNM Software;Simulation;1;0;;;;;;;;;;;jp;
Aa Harimanada (Japan);Aa Harimanada (Japan);Mega Drive;;1993;Megasoft;Fighting;1-2;0;;;;;;;;;;;jp;
Aaahh!!! Real Monsters (Europe);Aaahh!!! Real Monsters (Europe);Mega Drive;;1995;Realtime Associates;Platform;1;0;;;;;;;;;;;eu,us;6
Aaahh!!! Real Monsters (USA) (Beta) (1995-07-07);Aaahh!!! Real Monsters (USA) (Beta) (1995-07-07);Mega Drive;Aaahh!!! Real Monsters (Europe);1995;Realtime Associates;Platform;1;0;;;;;;;;;;;eu,us;6
Aaahh!!! Real Monsters (USA);Aaahh!!! Real Monsters (USA);Mega Drive;Aaahh!!! Real Monsters (Europe);1995;Realtime Associates;Platform;1;0;;;;;;;;;;;eu,us;6
