#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
007 - The World Is Not Enough (USA) (Beta);007 - The World Is Not Enough (USA) (Beta);Playstation;;2000;Black Ops Entertainment;Shooter;1;0;;;;;;;;;;;us;
007 - The World Is Not Enough (USA);007 - The World Is Not Enough (USA);Playstation;;2000;Black Ops Entertainment;Shooter;1;0;;;;;;;;;;;us;
007 - Tomorrow Never Dies (USA);007 - Tomorrow Never Dies (USA);Playstation;;1999;Black Ops Entertainment;Shooter;1;0;;;;;;;;;;;us;
007 Racing (USA);007 Racing (USA);Playstation;;2000;Eutechnyx;Racing, Driving;2;0;;;;;;;;;;;us;
16 Tales 1 (USA);16 Tales 1 (USA);Playstation;;;Lightspan;Educational;;0;;;;;;;;;;;us;
16 Tales 2 (USA);16 Tales 2 (USA);Playstation;;;Lightspan;Educational;;0;;;;;;;;;;;us;
16 Tales 3 (USA);16 Tales 3 (USA);Playstation;;;Lightspan;Educational;;0;;;;;;;;;;;us;
16 Tales 4 (USA);16 Tales 4 (USA);Playstation;;;Lightspan;Educational;;0;;;;;;;;;;;us;
1Xtreme (USA);1Xtreme (USA);Playstation;;1995;Sony Interactive Entertainment;Sports;1-2;0;;;;;;;;;;en;us;
2002 FIFA World Cup (USA) (En,Es);2002 FIFA World Cup (USA) (En,Es);Playstation;;2002;TBC;Sports;2-8;0;;;;;;;;;;en,es;us;
2Xtreme (USA);2Xtreme (USA);Playstation;;1996;Sony Computer Entertainment;Sports;1-2;0;;;;;;;;;;en;us;
3D Baseball (USA);3D Baseball (USA);Playstation;;1996;Crystal Dynamics;Sports;1-2;0;;;;;;;;;;;us;
3D Lemmings (USA);3D Lemmings (USA);Playstation;;1995;Clockworks Entertainment;Puzzle;1;0;;;;;;;;;;ja;jp;
3Xtreme (USA) (Demo);3Xtreme (USA) (Demo);Playstation;;1999;989;Sports;1-2;0;;;;;;;;;;en,fr,de;us;
3Xtreme (USA);3Xtreme (USA);Playstation;;1999;989;Sports;1-2;0;;;;;;;;;;;us;
40 Winks (USA);40 Winks (USA);Playstation;;1999;Eurocom;Platform;1;0;;;;;;;;;;;us;
